Subtype,count
C,106012
A1,36964
D,23877
02_AG,17174
A1D,4409
G,3460
A,2978
A1C,1989
B,1548
11_cpx,1200
O,1123
CD,1048
06_cpx,1010
U,833
F2,810
02A1,794
02G,716
A1CD,643
A3,462
H,401
01_AE,398
A1G,320
A2,284
0206,279
AD,278
22_01A1,267
01A1,252
13_cpx,245
A2D,243
02A3,226
F1,215
02DO,210
AG,201
09_cpx,171
AC,171
10_CD,160
02F2,151
25_cpx,139
18_cpx,136
J,131
A1A2,127
37_cpx,123
DU,98
A1A2D,93
BD,86
CU,81
02A,74
A1F2,72
CG,69
0209,60
45_cpx,57
A1U,53
02U,50
CF1U,50
02D,48
11A1,47
DG,45
02B,44
06G,43
A2C,43
N,40
BC,40
0102,40
A7,39
A1A3,39
ACD,36
K,35
GU,35
A1GJ,33
AU,32
26_A5U,30
36_cpx,27
0222,25
49_cpx,23
02C,22
A1H,21
16_A2D,20
CF1,20
HU,19
27_cpx,19
GH,18
A2U,18
GJ,17
A3G,16
A1DG,15
92_C2U,15
KU,15
05_DF,13
AGU,13
A4,13
A8,12
95_02B,12
0102A1,12
A2G,10
A1B,10
11J,9
F2G,9
BG,9
A1A2CD,8
0213,8
02H,8
AF,8
F,8
JU,8
11C,8
FKU,8
26C,7
1113,7
0211,7
A1F1,7
0218,7
01G,7
A2B,7
DK,7
02O,7
93_cpx,6
14_BG,6
21_A2D,6
02A1G,6
13U,6
18D,6
DF,6
124_cpx,6
FK,6
AF2,5
ADG,5
A6,5
19_cpx,5
A1CG,5
AH,5
AJ,5
11U,5
P,5
09A1,5
DF1,5
A1A2C,5
CH,5
41_CD,5
0102A,4
A1BG,4
DF2,4
06A3,4
11AG,4
L,4
01F2,4
ADU,4
CF2,4
F2U,4
02F,4
01U,3
F1G,3
DJ,3
BF1,3
06A1,3
F2KU,3
AO,3
AKU,3
09A,3
01C,3
02A1F2,3
37A,3
09U,3
A1DU,3
JKU,3
43_02G,3
A1J,3
A1K,3
GK,3
0609,3
A2F,3
DGU,3
HJ,3
JK,2
47_BF1,2
16A1,2
BF,2
56_cpx,2
0206A3,2
0219,2
45U,2
CDG,2
F1F2,2
02J,2
F2K,2
CJ,2
35_A1D,2
01F1G,2
18U,2
22F2,2
01A1G,2
09G,2
02F2G,2
F2O,2
11G,2
FU,2
A2CD,2
ACU,2
GJO,2
02A2,2
AF2G,2
04_cpx,2
0113,2
A1CDG,2
02AG,2
AHJU,2
A3D,2
AK,2
GHK,1
0122F,1
0102D,1
09A1D,1
F1U,1
FH,1
DO,1
GKU,1
01B,1
09D,1
06B,1
0109,1
01ADF2,1
AGH,1
DGC,1
02F2U,1
138_cpx,1
A1GH,1
A1DH,1
13C,1
02A6,1
A1BD,1
A1A6,1
A1A2G,1
18A1,1
01D,1
18A1D,1
45C,1
02K,1
18G,1
24_BG,1
03_A6B,1
22DU,1
22A1U,1
02A1D,1
0226,1
A3F2,1
11B,1
CK,1
CHU,1
CGU,1
CGJ,1
01F2G,1
CF,1
BF2,1
BDF,1
BCD,1
0206DG,1
0206G,1
11A3,1
AGKU,1
AGK,1
AGJ,1
ADGU,1
ACH,1
06D,1
